WTGID,Loc,MonthStartDate,f1,f2,f3,f4,f5,f6,target,Dataset
451,0,2/1/2024 0:00,15,774.41494,20.47063905,55.34155884,58.43385503,37.96321598,0,val
452,0,10/1/2022 0:00,22,541.371134,31.30079897,63.45706443,66.02892139,34.72812242,0,model
452,0,11/1/2022 0:00,19,617.166351,26.77503403,56.67844119,58.69474669,31.91971267,0,model
452,0,1/1/2024 0:00,10,730.695462,15.54164921,47.64069246,49.62475218,34.08310297,0,val
452,0,2/1/2024 0:00,15,771.586778,19.44344833,52.10166734,54.18041185,34.73696353,0,val
453,0,11/1/2022 0:00,19,670.522036,25.86494662,57.87604635,59.49600683,33.63106021,0,model
453,0,3/1/2023 0:00,15,862.970631,19.65755474,55.76159637,57.10570421,37.44814947,0,model
453,0,1/1/2024 0:00,11,722.593719,15.34111111,52.30763965,53.92330435,38.58219324,0,val
453,0,2/1/2024 0:00,15,773.819918,19.12631241,56.98359709,58.59280628,39.46649386,0,val
454,0,11/1/2022 0:00,15,773.280156,24.54983681,57.70463156,59.50196867,34.95213185,0,model
454,0,12/1/2022 0:00,17,788.099067,22.67735963,55.86717133,57.67405598,34.99669635,0,model
454,0,1/1/2023 0:00,15,886.306564,22.73020402,56.70857014,58.62954938,35.89934536,0,model
454,0,3/1/2023 0:00,14,810.739271,18.0389413,54.66699753,56.53827834,38.49933704,0,model
454,0,1/1/2024 0:00,11,720.934513,15.83039971,49.42932071,51.09223156,35.26183186,0,val
454,0,2/1/2024 0:00,13,757.623049,19.64803546,53.77496979,55.5182305,35.87019504,0,val
454,0,3/1/2024 0:00,14,735.288212,19.62333792,53.26571054,54.98039686,35.35705894,0,val
455,0,11/1/2022 0:00,17,749.59957,23.25486896,57.1426138,61.55615897,38.30129001,0,model
455,0,12/1/2022 0:00,18,796.631277,21.88520678,55.84192287,60.37369939,38.48849262,0,model
455,0,1/1/2023 0:00,15,864.283106,21.72717362,56.08808988,60.51771021,38.7905366,0,model
455,0,2/1/2023 0:00,13,833.915384,21.37990635,56.61674043,61.19758194,39.81767559,0,model
455,0,1/1/2024 0:00,11,724.286834,15.04529734,51.50100279,55.18645414,40.1411568,0,val
455,0,2/1/2024 0:00,13,744.547788,18.57606635,56.26582212,60.16247308,41.58640673,0,val
455,0,3/1/2024 0:00,14,714.706551,18.63380517,55.71209943,59.57005,40.93624483,0,val
456,0,11/1/2022 0:00,17,731.71164,24.73751746,55.92431182,59.55131005,34.81379259,0,model
456,0,12/1/2022 0:00,17,773.525649,23.7208452,55.76075129,59.53503616,35.81419096,0,model
456,0,1/1/2023 0:00,15,866.231666,23.0267141,55.34783932,59.10163932,36.07492521,0,model
456,0,2/1/2023 0:00,13,831.427788,22.84077104,55.62638943,59.42331311,36.58254207,0,model
456,0,3/1/2023 0:00,15,870.258333,21.72420437,53.29767945,56.77765675,35.05345238,0,model
456,0,1/1/2024 0:00,10,721.391114,16.56839373,51.04591986,54.47748084,37.90908711,0,val
456,0,2/1/2024 0:00,14,741.03891,20.47495817,55.72662862,59.26876654,38.79380837,0,val
456,0,3/1/2024 0:00,14,709.320866,20.14363082,54.6203278,58.07649278,37.93286196,0,val
457,0,12/1/2022 0:00,18,803.072183,23.23510651,58.88534996,61.62098063,38.38587412,0,model
457,0,1/1/2023 0:00,15,866.34755,23.04072181,58.41800082,60.99782763,37.95710582,0,model
457,0,2/1/2023 0:00,13,837.621512,22.56780168,57.93847806,60.32187899,37.75407731,0,model
457,0,3/1/2023 0:00,14,826.556623,19.84416753,56.85362395,59.16941039,39.32524286,0,model
457,0,2/1/2024 0:00,14,733.20963,20.43310433,53.37295399,55.6676549,35.23455056,0,val
457,0,3/1/2024 0:00,14,704.981967,20.00118033,52.71433536,54.98500182,34.98382149,0,val
458,0,12/1/2022 0:00,18,801.059782,21.94265127,58.19623933,60.24993116,38.30727989,0,model
458,0,1/1/2023 0:00,17,872.052166,21.52009095,56.80423485,59.17958902,37.65949807,0,model
458,0,2/1/2023 0:00,13,835.18586,21.0349029,55.96108556,58.47730494,37.44240204,0,model
458,0,3/1/2023 0:00,15,875.940537,18.75833931,55.94620032,58.77308623,40.01474692,0,model
458,0,1/1/2024 0:00,11,735.23696,15.797984,58.16982987,61.2891248,45.4911408,0,val
458,0,2/1/2024 0:00,15,740.399805,19.53301553,63.61455264,66.63220971,47.09919417,0,val
459,0,12/1/2022 0:00,17,787.848696,23.58508819,56.06062304,58.46447163,34.87938344,0,model
459,0,1/1/2023 0:00,17,881.810399,23.02675998,54.71394646,56.8957448,33.86898482,0,model
459,0,2/1/2023 0:00,13,838.412244,23.01941327,55.05524225,57.19045068,34.17103741,0,model
459,0,3/1/2023 0:00,15,858.590017,21.52207229,52.87667049,54.88263683,33.36056454,0,model
459,0,1/1/2024 0:00,10,732.583409,15.80741248,47.22226332,49.04789802,33.24048554,0,val
460,0,12/1/2022 0:00,18,828.860365,22.31773255,55.77987385,57.54366165,35.22592911,0,model
460,0,1/1/2023 0:00,17,867.598444,22.14413829,56.11219941,57.92066681,35.77652852,0,model
460,0,2/1/2023 0:00,13,835.607394,21.80128403,56.37410514,58.31871429,36.51743025,0,model
460,0,3/1/2023 0:00,15,832.161069,18.78753343,55.32838699,57.22785884,38.44032541,0,model
460,0,10/1/2023 0:00,21,703.915664,23.32655191,56.77222789,58.53851366,35.21196175,0,val
460,0,1/1/2024 0:00,11,701.470635,15.19594046,50.41839979,51.89113261,36.69519215,0,val
460,0,2/1/2024 0:00,15,731.347809,19.51979714,55.36239587,57.04386952,37.52407238,0,val
460,0,3/1/2024 0:00,14,669.295093,19.10907107,54.16332581,55.82966328,36.72059222,0,val
461,1,3/1/2024 0:00,20,326.928702,24.61851371,55.54390169,57.86296161,33.2444479,0,val
462,1,7/1/2023 0:00,26,305.044169,29.83563158,60.23942335,62.3441548,32.50852322,0,val
462,1,8/1/2023 0:00,31,300.954558,31.88199586,62.2605818,64.39921685,32.51722099,0,val
463,0,11/1/2023 0:00,12,311.564573,16.82220735,49.62979305,52.04245498,35.22024763,0,val
463,0,12/1/2023 0:00,9,310.613008,16.73121816,49.62198329,52.02666396,35.2954458,0,val
463,0,1/1/2024 0:00,11,297.90256,13.56821009,47.33695658,49.7541619,36.18595181,0,val
463,0,2/1/2024 0:00,11,291.781688,16.99527851,49.9976903,52.38736404,35.39208553,0,val
464,0,1/1/2023 0:00,10,1.000903,14.36213956,50.19292403,52.03558133,37.67344177,0,model
464,0,2/1/2023 0:00,9,1.007228,14.49017711,50.25959572,52.13112169,37.64094458,0,model
464,0,3/1/2023 0:00,11,1.006595,14.62786096,49.69504377,51.59402139,36.96616043,0,model
464,0,12/1/2023 0:00,10,1.010152,15.90107533,52.17227802,54.20126201,38.30018668,0,val
464,0,1/1/2024 0:00,9,1.017064,13.68765188,50.01199267,52.00154835,38.31389647,0,val
